STATE_NAME,Year,Number of Crash,
Australian Capital Territory,2019,5,
Australian Capital Territory,2020,5,
Australian Capital Territory,2021,5,
Australian Capital Territory,2022,16,
Australian Capital Territory,2023,3,
New South Wales,2019,353,
New South Wales,2020,284,
New South Wales,2021,275,
New South Wales,2022,280,
New South Wales,2023,345,
Northern Territory,2019,36,
Northern Territory,2020,30,
Northern Territory,2021,33,
Northern Territory,2022,42,
Northern Territory,2023,15,
Queensland,2019,218,
Queensland,2020,272,
Queensland,2021,272,
Queensland,2022,294,
Queensland,2023,272,
South Australia,2019,114,
South Australia,2020,93,
South Australia,2021,97,
South Australia,2022,71,
South Australia,2023,117,
Tasmania,2019,29,
Tasmania,2020,36,
Tasmania,2021,35,
Tasmania,2022,51,
Tasmania,2023,35,
Victoria,2019,258,
Victoria,2020,204,
Victoria,2021,222,
Victoria,2022,214,
Victoria,2023,222,
Western Australia,2019,145,
Western Australia,2020,144,
Western Australia,2021,149,
Western Australia,2022,0,
Western Australia,2023,0,
